id,parent_id,type,name,category,description,role,tech,start,end,date_source,status,progress,commits,location,highlights,links,notes
thermynx,,project,THERMYNX — HVAC AI Operations Intelligence,HVAC Platform,"AI-powered HVAC analytics POC for the Unicharm facility — local LLM, RAG, work orders and analytics.","Sole engineer — full-stack build: FastAPI backend, React/TypeScript frontend, Ollama integration, analytics engine.",Python; FastAPI; React; TypeScript; Ollama; MySQL; Vite,2026-05-08,ongoing,git,Active,70,317,D:\Harshan\HVAC AI Operations Intelligence Platform,"Most active project — 308 commits; 18 feature pages + 6 Claude/LLM agents; RAG over facility docs, work-order workflow, analytics engine; Local on-prem LLM (Ollama) inference",,
thermynx.1,thermynx,milestone,18 feature pages,HVAC Platform,Frontend feature surface,,,2026-05-08,2026-05-15,git,Active,80,0,,,,
thermynx.2,thermynx,milestone,6 AI agents,HVAC Platform,Claude/LLM agents,,,2026-05-15,2026-05-23,git,Active,70,0,,,,
thermynx.3,thermynx,milestone,RAG pipeline,HVAC Platform,Retrieval over facility docs,,,2026-05-23,2026-05-31,git,Active,65,0,,,,
thermynx.4,thermynx,milestone,Work orders,HVAC Platform,Work-order workflow,,,2026-05-31,2026-06-08,git,Active,60,0,,,,
thermynx.5,thermynx,milestone,Analytics engine,HVAC Platform,Chiller/HVAC analytics,,,2026-06-08,2026-06-16,git,Active,60,0,,,,
climastream,,project,ClimaStream — Real-time HVAC Pipeline,HVAC Platform,Production-grade streaming pipeline POC: Kafka -> TimescaleDB -> Airflow -> FastAPI -> Next.js.,Sole engineer — designed and built the end-to-end microservice pipeline and simulator.,Python; Kafka; TimescaleDB; Airflow; Next.js; Docker,2026-04-24,2026-06-15,git,Done,100,32,D:\Harshan\clima-stream-hvac,"Proved the real-time streaming architecture; Microservices: simulator, ingestion, processor, ML, storage, API; 31 commits over ~4 weeks",,
climastream.1,climastream,milestone,Device simulator,HVAC Platform,Synthetic HVAC data,,,2026-04-24,2026-05-04,git,Done,100,0,,,,
climastream.2,climastream,milestone,Kafka ingestion,HVAC Platform,Streaming ingest,,,2026-05-04,2026-05-14,git,Done,100,0,,,,
climastream.3,climastream,milestone,TimescaleDB storage,HVAC Platform,Time-series store,,,2026-05-14,2026-05-25,git,Done,100,0,,,,
climastream.4,climastream,milestone,ML scoring,HVAC Platform,Anomaly/score service,,,2026-05-25,2026-06-04,git,Done,100,0,,,,
climastream.5,climastream,milestone,Next.js UI,HVAC Platform,Frontend dashboard,,,2026-06-04,2026-06-15,git,Done,100,0,,,,
omnyx,,project,OMNYX — Universal IoT Operations Platform,HVAC Platform,"Next-gen production platform vision: Digital-Twin FDD, RL optimization, Agentic AI, dual-database architecture.",Architecture & platform design — the strategic north star consolidating the POCs.,Python; React; TypeScript; PostgreSQL; TimescaleDB; Kafka,2026-05-25,ongoing,git,Active,35,219,D:\Harshan\graylinx-v2,Digital Twin fault detection & diagnostics (FDD); Reinforcement-learning optimization; Agentic AI operations layer; Dual-DB (PostgreSQL + TimescaleDB) design,,
omnyx.1,omnyx,milestone,Digital-Twin FDD,HVAC Platform,Fault detection & diagnostics,,,2026-05-25,2026-05-30,git,Active,40,0,,,,
omnyx.2,omnyx,milestone,RL optimization,HVAC Platform,Setpoint optimization,,,2026-05-30,2026-06-04,git,Planned,15,0,,,,
omnyx.3,omnyx,milestone,Agentic AI,HVAC Platform,Operations agents,,,2026-06-04,2026-06-09,git,Active,30,0,,,,
omnyx.4,omnyx,milestone,Dual-DB architecture,HVAC Platform,Postgres + Timescale,,,2026-06-09,2026-06-15,git,Active,45,0,,,,
gl-pulse,,project,GL Pulse — Platform Architecture,HVAC Platform,"Reference architecture & planning docs unifying ClimaStream, THERMYNX and OMNYX into one next-gen vision.",Author — architecture documentation and lessons-learned consolidation.,Markdown; Architecture,2026-05-26,2026-05-30,approx,Ongoing,60,0,D:\Harshan\gl-pulse,20 architecture documents; Consolidates POC lessons into unified design,,
gl-pbs,,project,GL PBS / BACnet Simulation,HVAC Platform,BACnet device simulator workstream (simulator dashboard lives under Current Works in GL).,Simulation flow study and BACnet device/UI analysis.,Vue 3; BACnet; Simulation,2026-05-11,2026-05-13,manual,Paused,20,0,D:\Harshan\gl-pbs-simulation,BACnet device simulation; Vue 3 simulator dashboard,,
current-works,,project,Current Works in GL — Core Monorepo,Graylinx Core,"Active Graylinx monorepo: backend/frontend, commission tool, ML trainings, simulations, Kafka stress testing.","Sole engineer — Kafka performance testing, cross-machine benchmarking, DB/ETL architecture audits.",Node.js; Express; Kafka; MySQL; Python,2026-06-04,2026-06-04,git,Active,75,16,D:\Harshan\Current Works in GL,"Kafka stress tests 150x -> 5000x scale; Cross-machine 24GB vs 8GB comparison reports; DB & ETL critical-flaws audits, management summaries",,
current-works.1,current-works,milestone,Kafka stress tests (150x-5000x),Graylinx Core,Throughput scaling,,,2026-06-04,2026-06-04,git,Active,80,0,,,,
current-works.2,current-works,milestone,Cross-machine 24GB vs 8GB,Graylinx Core,Hardware comparison,,,2026-06-04,2026-06-04,git,Done,100,0,,,,
current-works.3,current-works,milestone,DB/ETL architecture audits,Graylinx Core,Critical-flaws reviews,,,2026-06-04,2026-06-04,git,Active,70,0,,,,
docs,,project,Graylinx Docs & PRD,Graylinx Core,"Product/architecture documentation: PRD, Modules & Features (175 features), Kafka/stress reports.","Author/maintainer — PRD, feature inventory, architecture references.",Markdown; PRD; Documentation,2026-04-28,2026-05-21,approx,Ongoing,65,0,D:\Harshan\Docs,"Graylinx_Modules_and_Features.md — 175 features, phased; PRD v1.0 + Industrial Platform Master",,
selfaware-suite,,project,The SelfAware® Intelligence Suite,SelfAware Suite,"Six-product local-AI suite (6 repos): Continuum (HVAC intelligence), AuditShield, Autonomous-Cortex, NeuralPulse, VisioScan, SpatialNexus.",Designed & built the multi-product suite across six repositories.,React; TypeScript; Python; Neo4j; pgvector; Ollama; Docker,2026-05-18,2026-05-21,git,Active,45,94,D:\Harshan\The SelfAware® Intelligence Suite,6 products in one suite; SelfAware Continuum: Unicharm + Neo4j + pgvector + Ollama,,
selfaware-suite.1,selfaware-suite,milestone,SelfAware Continuum — HVAC intelligence,SelfAware Suite,Neo4j + pgvector + Ollama,,,2026-05-18,2026-05-18,git,Active,55,0,,,,
selfaware-suite.2,selfaware-suite,milestone,AuditShield — Compliance Ledger,SelfAware Suite,Compliance ledger,,,2026-05-18,2026-05-19,git,Done,100,0,,,,
selfaware-suite.3,selfaware-suite,milestone,Autonomous-Cortex — Mission Console,SelfAware Suite,Mission console,,,2026-05-19,2026-05-19,git,Done,100,0,,,,
selfaware-suite.4,selfaware-suite,milestone,NeuralPulse — Signal Lab,SelfAware Suite,Signal lab,,,2026-05-19,2026-05-20,git,Done,100,0,,,,
selfaware-suite.5,selfaware-suite,milestone,VisioScan — Light Studio,SelfAware Suite,Light studio,,,2026-05-20,2026-05-20,git,Done,100,0,,,,
selfaware-suite.6,selfaware-suite,milestone,SpatialNexus — Topology Atlas,SelfAware Suite,Topology atlas,,,2026-05-20,2026-05-21,git,Done,100,0,,,,
concept-standard,,project,Concept Standard — Graph Analytics,SelfAware Suite,"Interactive concept-map viewer (1,159 concepts, 5,985 relations) for lesson generation.",Built the in-browser graph analytics tool (ECharts + Neo4j GDS).,Python; JavaScript; ECharts; Neo4j,2026-06-15,ongoing,approx,Active,55,0,D:\Harshan\concept-standard,"1,159 concepts / 5,985 relations; Force/circular graphs, command palette, light/dark, a11y",,
voxara,,project,VOXARA AI — Voice Intelligence,Voice AI,"Realtime on-prem AI voice intelligence platform — monorepo with local LLM, Whisper STT, Piper TTS.","Architecture & monorepo setup (pnpm/Turbo), service scaffolding.",Node.js; pnpm; Turbo; Ollama; Whisper; Piper; Docker,2026-05-20,2026-05-21,approx,Paused,30,0,D:\Harshan\VOXARA AI,Largest by file count (37 items); Local LLM + Whisper + Piper TTS,,
travel-app,,project,TripTrail — Travel & Expense (RANGSONS),Client Apps,Buildless travel/expense reporting web app for RANGSONS LLP with HR approval + Google Sheets.,"Sole developer — static web app, Supabase backend, approval flow.",HTML; Tailwind; JavaScript; Supabase,2026-06-03,2026-06-03,git,Done,100,5,D:\Harshan\travel-app,HR approval + Google Sheets integration; Buildless static deployment,,
konva,,project,Konva Canvas App,Client Apps,React + TypeScript canvas/drawing app template (likely a UI/design component base).,Template/prototype setup.,React; TypeScript; Vite; Konva,2026-05-14,2026-05-14,approx,Paused,25,0,D:\Harshan\konva,Canvas/drawing UI base,,
farmer-app,,project,Nesso — Farm Traceability Platform,Client Apps,Farm-to-fork traceability platform for NR Group (Nesso).,Built the traceability web app — including a weekend build sprint (30–31 May).,TypeScript; React; Node.js,2026-05-28,ongoing,git,Active,45,191,D:\Harshan\farmer-app,Farm-to-fork traceability (NR Group); ~1-week build incl. weekend sprint,,
selfaware-dev-stack,,project,SelfAware Dev Stack,Infra & Tooling,"Canonical local Docker dev stack (MySQL, PostgreSQL, Neo4j, Redis) for the SelfAware products.",Authored the docker-compose environment for 4 products.,Docker; MySQL; PostgreSQL; Neo4j; Redis,2026-05-21,2026-05-21,approx,Done,100,0,D:\Harshan\selfaware-dev-stack,One dev environment for 4 products,,
mysql-unicharm-proxy,,project,MySQL Unicharm Proxy (deprecated),Infra & Tooling,Docker MySQL port-forwarding helper — superseded by selfaware-dev-stack.,Quick infra utility (now reference-only).,Docker; MySQL,2026-05-21,2026-05-21,approx,Done,100,0,D:\Harshan\mysql-unicharm-proxy,Deprecated — replaced by selfaware-dev-stack,,
kimo-ssh-keys,,project,Kimo SSH Keys,Infra & Tooling,SSH key storage / Graylinx laptop identity (kept out of git for security).,Access/identity setup.,SSH,2026-05-18,2026-05-18,approx,Done,100,0,D:\Harshan\kimo-ssh-keys,Laptop identity & access keys,,
python-etl,,project,Python ETL,Infra & Tooling,ETL / transformer-layer workstream (planning + follow-ups in May).,ETL transformer-layer planning and conversion-workflow design.,Python; ETL,2026-05-14,2026-05-25,manual,Planned,10,0,D:\Harshan\python-etl,ETL transformer layer planning,,
raspberry,,project,Raspberry Stuffs,Infra & Tooling,Raspberry Pi / edge experiments (placeholder).,Edge hardware experiments.,Raspberry Pi,2026-06-13,2026-06-13,approx,Planned,5,0,D:\Harshan\Rasberry-stuffs,Placeholder,,
gl-hvac-early,,project,Graylinx.ai HVAC (early prototype),HVAC Platform,"""HVAC Data Pipeline v2"" — first Graylinx HVAC repo (Python), precursor to ClimaStream.",Initial HVAC data-pipeline prototype.,Python,2026-04-20,2026-04-21,github,Done,100,8,,First HVAC repo on GitHub (8 commits); Precursor to ClimaStream,,
gl-legacy-analysis,,project,Graylinx Legacy-Code Analysis,Graylinx Core,Audit/analysis of the Graylinx legacy codebase that informed the v2/OMNYX rebuild.,Reviewed & documented legacy code for migration.,JavaScript; Node.js,2026-04-28,2026-05-01,github,Done,100,7,,Legacy code audit (7 commits); Fed into OMNYX architecture,,
poc-hvac-pipeline,,project,HVAC Data Pipeline (v1 & v2),HVAC Platform,Graylinx HVAC Chiller-Plant telemetry pipeline: Node.js → MySQL + Kafka → MinIO (Parquet + manifests) → Airflow → ClickHouse → Grafana. v1 + production-ready v2 on the harshan-aiyappa account (Nov 2025).,Built the end-to-end pipeline + its 3 POCs with J. Suryanarayanan & Satish Krishna; milestone-tracked over email.,Node.js; Express; Kafka; MinIO; Parquet; Airflow; ClickHouse; Grafana; Python; Docker,2025-11-19,2025-11-26,github,Done,100,12,,"Chiller-plant predictive-maintenance + energy-optimization pipeline; v1 (19 Nov) + production v2 (26 Nov 2025), harshan-aiyappa account; POCs: Ingestion · Data Lake · Analytics",,
poc-hvac-pipeline.1,poc-hvac-pipeline,milestone,POC 1 — Ingestion (Node.js → MySQL + Kafka),HVAC Platform,Simulator → Node.js service → MySQL + Kafka,,,2025-11-19,2025-11-21,github,Done,100,0,,,,
poc-hvac-pipeline.2,poc-hvac-pipeline,milestone,POC 2 — Data Lake (Kafka → MinIO/Parquet),HVAC Platform,Kafka → connector → MinIO Parquet storage,,,2025-11-21,2025-11-23,github,Done,100,0,,,,
poc-hvac-pipeline.3,poc-hvac-pipeline,milestone,POC 3 — Analytics (Airflow → ClickHouse → Grafana),HVAC Platform,MinIO → Airflow → ClickHouse → Grafana dashboards,,,2025-11-23,2025-11-26,github,Done,100,0,,,,
rms-config,,project,RMS Configuration,Infra & Tooling,RMS configuration coordination across the Vyoda/Tanu and Nagesh teams.,Coordinated RMS configuration.,Config,2025-10-28,2025-10-28,email,Done,100,0,,RMS configuration; Oct 2025,,
